PLAYER,Country,Year,ScoringAvg,BirdieAvg,DrivingDistance,TotalDriving,GIR%,Scrambling,SG_Total,SG_ApproachGreen,SG_Putting,SG_OffTee,SG_AroundGreen,SG_TeeToGreen,Top10Finishes,#Wins,FedExCupPoints,WorldRank,Money
Billy Horschel,USA,2018,70.154,3.91,295.4,117.0,71.75,58.03,1.112,0.352,0.392,0.538,-0.169,0.72,6,1,960,3.15,4315200
Louis Oosthuizen,RSA,2018,70.157,3.43,299.8,112.0,65.74,64.26,0.521,-0.261,-0.026,0.401,0.408,0.548,3,0,620,3.04,1731493
Gary Woodland,USA,2018,70.161,3.8,313.5,73.0,70.51,54.45,1.066,0.484,0.007,0.803,-0.228,1.059,3,1,1044,2.95,3108907
Byeong Hun An,KOR,2018,70.19,3.65,307.9,135.0,67.99,61.16,0.805,0.448,-0.285,0.475,0.167,1.091,4,0,913,2.57,2599264
Charles Howell III,USA,2018,70.219,3.55,300.9,141.0,69.33,60.87,0.801,0.163,0.219,0.324,0.095,0.582,4,0,885,1.82,2179725
Luke List,USA,2018,70.229,3.86,314.6,187.0,68.36,58.41,0.87,0.194,-0.467,0.795,0.349,1.337,5,0,1080,2.29,2710736
Aaron Wise,USA,2018,70.247,4.11,302.9,113.0,68.81,56.28,0.703,0.012,0.238,0.41,0.042,0.464,4,1,1086,2.45,3486407
Marc Leishman,AUS,2018,70.26,3.96,298.5,197.0,66.67,59.07,0.624,0.211,0.126,-0.006,0.292,0.498,6,0,1148,4.11,3771221
Brian Gay,USA,2018,70.28,3.82,282.9,192.0,64.52,63.26,0.565,0.036,0.442,-0.166,0.253,0.123,6,0,880,1.38,2152501
Kevin Na,USA,2018,70.288,3.91,289.6,219.0,64.66,63.62,0.801,0.273,0.533,-0.378,0.373,0.268,4,1,1183,2.82,3578316
Keegan Bradley,USA,2018,70.303,3.65,299.6,80.0,69.18,56.78,0.793,0.888,-0.358,0.237,0.026,1.151,5,1,872,3.41,4069464
Chesson Hadley,USA,2018,70.311,3.94,300.0,179.0,67.68,56.6,0.859,0.606,0.208,0.146,-0.102,0.65,7,0,1122,1.84,2768863
Daniel Berger,USA,2018,70.32,3.53,297.7,141.0,66.89,58.94,0.816,0.543,0.319,0.1,-0.145,0.497,1,0,565,2.59,1721763
Jim Furyk,USA,2018,70.342,3.15,280.5,200.0,63.19,62.58,0.412,0.179,0.389,-0.392,0.235,0.023,2,0,291,0.76,660010
Brandt Snedeker,USA,2018,70.379,3.62,293.1,206.0,65.04,60.08,0.625,-0.026,0.478,-0.145,0.318,0.147,4,1,1077,2.43,2448970
Bubba Watson,USA,2018,70.384,3.75,313.1,151.0,68.21,56.64,0.555,0.005,0.001,0.78,-0.231,0.554,6,3,1879,5.36,5793748
Kyle Stanley,USA,2018,70.404,3.82,295.7,105.0,71.09,54.8,0.686,0.298,0.037,0.378,-0.027,0.649,5,0,1198,3.76,3916001
Chris Kirk,USA,2018,70.411,3.77,289.8,209.0,68.24,63.53,0.732,0.518,0.073,-0.048,0.19,0.659,4,0,756,1.24,1824111
Branden Grace,RSA,2018,70.412,3.69,298.9,145.0,67.1,57.78,0.812,0.174,0.35,0.163,0.125,0.463,2,0,590,2.7,1529289
Adam Scott,AUS,2018,70.42,3.76,304.6,117.0,70.66,54.85,0.779,0.639,-0.285,0.3,0.125,1.064,3,0,623,2.89,2237641
Chez Reavie,USA,2018,70.432,3.71,286.5,176.0,68.67,62.27,0.674,0.437,0.192,0.183,-0.137,0.483,3,0,1020,2.16,2700018
Kevin Streelman,USA,2018,70.436,3.57,295.1,119.0,71.56,60.93,0.619,0.415,-0.25,0.439,0.014,0.868,5,0,673,1.14,1523642
Stewart Cink,USA,2018,70.44,3.62,298.1,229.0,68.58,55.69,0.465,0.698,-0.345,0.057,0.055,0.81,3,0,758,1.87,1887208
Jason Kokrak,USA,2018,70.444,3.88,309.5,158.0,70.37,55.11,0.539,0.257,0.022,0.36,-0.101,0.517,4,0,700,1.48,1794431
C.T. Pan,TPE,2018,70.457,3.79,292.7,139.0,71.2,56.89,0.478,0.267,-0.067,0.215,0.063,0.544,2,0,693,1.51,1881787
Matt Kuchar,USA,2018,70.461,3.58,288.0,244.0,66.81,63.6,0.576,0.216,0.348,-0.199,0.211,0.228,4,0,679,3.22,1720097
Austin Cook,USA,2018,70.469,3.92,292.3,154.0,66.51,62.02,0.569,-0.045,0.315,0.12,0.179,0.254,3,1,1060,1.47,2448920
Xander Schauffele,USA,2018,70.486,3.81,304.9,152.0,65.59,57.81,0.644,0.235,0.196,0.24,-0.027,0.448,7,0,1081,4.77,4047538
Russell Henley,USA,2018,70.489,3.69,293.0,134.0,68.77,54.33,0.541,0.467,0.167,0.093,-0.186,0.374,3,0,569,2.07,1516438
Cameron Smith,AUS,2018,70.517,3.69,298.4,232.0,63.18,61.12,0.219,0.034,0.115,-0.148,0.218,0.104,7,0,821,3.34,3622607
J.J. Spaun,USA,2018,70.525,3.91,298.2,114.0,69.48,55.76,0.292,0.41,-0.149,0.286,-0.255,0.441,4,0,849,1.18,1978906
Brian Harman,USA,2018,70.536,3.73,291.9,154.0,67.59,56.95,0.29,-0.024,0.273,0.137,-0.096,0.017,8,0,1056,2.95,2733463
Russell Knox,SCO,2018,70.568,3.49,291.7,155.0,69.57,59.43,0.383,0.263,-0.088,0.059,0.149,0.471,3,0,585,2.22,1424030
Beau Hossler,USA,2018,70.574,3.79,300.0,167.0,67.95,60.0,0.584,-0.395,0.685,0.281,0.013,-0.101,5,0,957,1.83,2449707
Joel Dahmen,USA,2018,70.578,3.75,295.8,126.0,68.82,63.31,0.4,0.381,-0.277,0.3,-0.004,0.677,3,0,676,0.91,1476838
Peter Uihlein,USA,2018,70.578,3.65,302.2,236.0,67.88,57.87,0.268,-0.04,0.021,0.132,0.156,0.247,4,0,593,2.09,1797715
Andrew Putnam,USA,2018,70.579,3.63,293.8,229.0,70.47,61.52,0.472,0.38,0.052,-0.146,0.187,0.42,5,1,1026,1.82,2387382
Ian Poulter,ENG,2018,70.593,3.75,293.6,146.0,67.01,57.11,0.85,0.435,0.223,0.141,0.051,0.627,4,1,1030,3.21,2714450
Pat Perez,USA,2018,70.594,3.85,290.9,187.0,67.78,55.63,-0.048,-0.138,0.115,-0.063,0.037,-0.163,4,1,1116,2.29,2962641
Ollie Schniederjans,USA,2018,70.641,3.92,301.4,241.0,62.77,56.95,0.254,0.09,0.325,-0.41,0.25,-0.071,3,0,573,1.26,1303610
Abraham Ancer,MEX,2018,70.659,3.64,296.1,165.0,66.49,62.69,0.32,0.074,-0.056,0.325,-0.022,0.376,5,0,589,1.31,1676695
Anirban Lahiri,IND,2018,70.66,3.57,294.0,233.0,64.7,58.35,0.104,-0.285,0.199,0.07,0.12,-0.095,4,0,555,1.36,1441205
Alex Cejka,GER,2018,70.675,3.42,286.7,199.0,63.77,64.0,0.312,-0.169,0.009,-0.024,0.495,0.302,2,0,502,0.65,1198541
Vaughn Taylor,USA,2018,70.692,3.91,286.1,196.0,67.02,59.91,0.219,0.305,-0.08,-0.005,-0.002,0.299,3,0,445,0.68,965691
Rory Sabbatini,SVK,2018,70.693,3.73,292.3,224.0,67.85,61.36,0.358,-0.152,0.059,0.217,0.234,0.299,1,0,521,1.03,1126057
Bronson Burgoon,USA,2018,70.701,3.81,302.8,99.0,68.44,55.61,0.481,0.371,0.107,0.309,-0.307,0.373,2,0,446,1.03,1179616
John Huh,USA,2018,70.718,3.7,287.1,234.0,65.8,57.94,0.251,0.24,0.167,-0.11,-0.047,0.083,2,0,480,0.67,974538
Scott Stallings,USA,2018,70.719,3.5,299.7,221.0,65.62,60.86,0.27,0.373,-0.07,-0.008,-0.025,0.341,2,0,470,1.04,1147573
Brandon Harkins,USA,2018,70.721,3.94,303.1,216.0,65.67,55.88,0.275,-0.006,0.225,0.181,-0.124,0.05,3,0,528,0.72,1148115
Kevin Kisner,USA,2018,70.729,3.44,290.8,176.0,65.38,60.29,0.037,-0.316,0.513,-0.043,-0.118,-0.476,4,0,971,3.58,2972285
Patrick Rodgers,USA,2018,70.731,3.69,303.5,137.0,65.65,57.22,0.232,-0.323,0.561,-0.039,0.034,-0.328,3,0,541,1.05,1287040
Jamie Lovemark,USA,2018,70.734,3.76,303.2,190.0,64.65,61.07,0.388,-0.04,0.01,-0.101,0.519,0.378,3,0,576,1.29,1377286
Scott Piercy,USA,2018,70.736,3.66,296.6,128.0,69.72,55.96,0.29,0.553,-0.569,0.209,0.097,0.859,2,1,802,0.73,1882337
Corey Conners,CAN,2018,70.743,3.71,303.3,115.0,70.19,57.52,0.193,0.275,-0.385,0.501,-0.198,0.579,1,0,353,0.44,728296
Adam Hadwin,CAN,2018,70.75,3.6,289.4,196.0,68.04,58.59,0.596,0.166,0.106,0.057,0.267,0.49,3,0,638,2.21,1932488
Ryan Armour,USA,2018,70.758,3.66,283.5,187.0,68.22,60.13,0.337,0.213,-0.058,-0.012,0.194,0.395,3,1,1006,1.45,2485203
Jimmy Walker,USA,2018,70.786,3.62,299.0,256.0,61.9,59.09,0.357,0.304,0.324,-0.437,0.166,0.033,4,0,719,1.88,2027312
J.B. Holmes,USA,2018,70.789,3.59,306.1,174.0,65.26,57.14,0.549,0.159,-0.207,0.565,0.032,0.756,3,0,640,1.71,1595942
William McGirt,USA,2018,70.791,3.32,289.3,284.0,67.59,62.86,0.178,0.091,0.2,-0.306,0.194,-0.021,3,0,449,0.83,933327
Sam Saunders,USA,2018,70.794,4.01,302.8,159.0,65.02,55.79,0.226,-0.081,0.094,0.35,-0.138,0.132,4,0,420,0.89,981936
Kevin Tway,USA,2018,70.8,3.76,310.1,203.0,66.88,56.77,0.329,0.032,0.052,0.271,-0.026,0.277,3,0,577,1.2,1379544
Trey Mullinax,USA,2018,70.815,3.83,318.3,177.0,65.38,54.42,-0.072,-0.442,0.072,0.506,-0.207,-0.144,3,0,528,0.85,1184245
Kevin Chappell,USA,2018,70.839,3.78,308.6,118.0,66.52,56.28,0.323,0.296,-0.344,0.608,-0.236,0.668,4,0,597,2.17,1608338
Martin Laird,SCO,2018,70.839,3.89,299.0,147.0,65.9,59.15,0.47,0.024,0.282,-0.045,0.209,0.189,3,0,443,1.02,1017580
Patton Kizzire,USA,2018,70.841,3.78,298.7,242.0,69.04,55.24,-0.033,0.381,0.03,-0.294,-0.15,-0.063,4,2,1386,1.67,3541151
Aaron Baddeley,AUS,2018,70.85,3.33,295.3,291.0,63.39,61.09,0.309,0.117,-0.057,-0.345,0.595,0.366,1,0,342,0.64,725928
Denny McCarthy,USA,2018,70.861,3.49,295.4,172.0,68.17,59.83,0.094,-0.347,0.449,0.011,-0.019,-0.355,1,0,267,0.98,498341
Nick Watney,USA,2018,70.862,3.67,307.5,181.0,67.96,55.68,0.343,0.141,0.2,0.17,-0.167,0.143,1,0,491,1.32,1402833
Seamus Power,IRL,2018,70.869,3.64,302.6,216.0,65.17,63.8,0.178,-0.392,0.498,0.076,-0.003,-0.319,2,0,377,0.57,791018
Troy Merritt,USA,2018,70.888,3.71,295.4,181.0,65.16,57.6,0.209,0.086,0.077,0.138,-0.092,0.132,3,1,616,0.93,1326989
James Hahn,USA,2018,70.896,3.56,298.7,142.0,68.29,59.62,0.279,0.081,-0.152,0.323,0.028,0.431,1,0,596,1.35,1386301
Sam Ryder,USA,2018,70.914,3.84,297.3,109.0,72.08,56.47,0.154,0.399,-0.349,0.203,-0.099,0.503,3,0,442,0.89,1046166
J.T. Poston,USA,2018,70.915,3.79,300.7,155.0,68.31,57.53,0.138,-0.373,0.135,0.381,-0.005,0.003,2,0,448,0.59,940661
Keith Mitchell,USA,2018,70.92,4.09,312.6,145.0,69.42,56.55,-0.018,-0.128,-0.504,0.706,-0.092,0.486,4,0,659,1.2,1641260
Tom Hoge,USA,2018,70.945,3.81,291.4,229.0,63.62,61.41,0.074,0.297,-0.162,0.018,-0.079,0.235,3,0,594,0.8,1358542
Harold Varner III,USA,2018,70.971,3.45,308.2,149.0,67.79,58.14,0.125,-0.076,-0.024,0.204,0.021,0.149,3,0,474,0.99,1223064
Ben Martin,USA,2018,70.974,3.59,289.6,227.0,63.98,58.8,-0.001,0.119,0.118,-0.142,-0.096,-0.119,1,0,266,0.57,532936
Ryan Blaum,USA,2018,70.993,3.78,289.0,225.0,66.1,55.46,-0.033,-0.074,0.025,0.011,0.005,-0.058,2,0,433,0.65,980877
Graeme McDowell,NIR,2018,71.001,3.34,293.2,171.0,64.5,59.95,0.697,0.046,0.478,0.124,0.049,0.219,1,0,274,0.83,581024
Brice Garnett,USA,2018,71.018,3.48,296.7,150.0,66.78,58.63,-0.31,-0.144,-0.076,0.188,-0.278,-0.234,2,1,634,1.24,1466224
Brendan Steele,USA,2018,71.021,3.48,310.3,121.0,69.24,52.56,0.029,0.243,-0.576,0.557,-0.195,0.604,3,1,998,1.73,2291128
"Ted Potter, Jr.",USA,2018,71.024,3.57,286.0,201.0,63.03,57.51,-0.094,-0.2,0.074,-0.074,0.105,-0.169,1,1,744,1.54,1976198
Ryan Palmer,USA,2018,71.031,3.94,305.2,157.0,65.61,55.38,-0.231,0.236,-0.528,0.235,-0.174,0.297,3,0,500,1.47,1484445
Brian Stuard,USA,2018,71.038,3.41,278.9,198.0,67.12,59.23,0.062,0.099,0.164,-0.227,0.026,-0.101,3,0,421,0.69,1089763
Tyler Duncan,USA,2018,71.04,3.49,294.4,137.0,69.65,52.76,0.017,0.476,-0.566,0.273,-0.166,0.583,2,0,457,0.56,944021
Andrew Landry,USA,2018,71.059,3.5,291.1,224.0,65.63,56.97,-0.039,-0.083,-0.01,0.206,-0.152,-0.029,5,1,1116,1.84,2642179
Lucas Glover,USA,2018,71.066,3.48,297.7,129.0,67.12,59.83,0.276,-0.043,-0.186,0.514,-0.008,0.462,1,0,324,1.21,789382
Ben Crane,USA,2018,71.097,3.41,281.1,207.0,64.88,63.0,0.176,-0.038,0.332,-0.302,0.184,-0.157,1,0,267,0.53,620646
Harris English,USA,2018,71.162,3.6,302.4,179.0,63.32,57.86,-0.184,-0.297,0.222,-0.219,0.111,-0.406,2,0,383,0.63,799450
Richy Werenski,USA,2018,71.185,3.41,291.8,179.0,66.97,56.49,-0.124,-0.169,-0.109,0.077,0.077,-0.014,2,0,498,0.87,1081283
Shawn Stefani,USA,2018,71.192,3.64,299.6,223.0,67.49,58.43,0.107,0.22,-0.034,-0.093,0.013,0.141,1,0,268,0.54,523204
Danny Lee,NZL,2018,71.196,3.83,290.6,234.0,65.05,60.81,0.058,-0.155,0.156,0.005,0.051,-0.099,3,0,481,1.25,1269386
Tyrone Van Aswegen,RSA,2018,71.243,3.42,290.3,303.0,65.23,58.08,-0.323,-0.008,-0.01,-0.493,0.187,-0.313,1,0,364,0.44,763584
Tom Lovelady,USA,2018,71.252,3.91,315.9,183.0,67.08,52.08,-0.19,-0.24,-0.049,0.379,-0.279,-0.14,2,0,332,0.58,700783
Nick Taylor,CAN,2018,71.269,3.46,292.7,231.0,67.65,61.83,-0.235,0.011,-0.312,0.049,0.017,0.077,2,0,420,0.64,899373
Jhonattan Vegas,VEN,2018,71.275,3.43,303.6,176.0,65.17,58.6,0.03,-0.081,-0.059,0.294,-0.124,0.089,1,0,394,1.67,1137444
Ben Silverman,CAN,2018,71.281,3.7,290.2,190.0,64.95,57.36,-0.206,-0.385,0.238,0.069,-0.128,-0.444,2,0,323,0.75,793140
Jason Dufner,USA,2018,71.323,3.36,297.1,162.0,64.24,58.25,0.011,-0.009,-0.058,0.256,-0.178,0.068,2,0,557,1.96,1497655
David Hearn,CAN,2018,71.325,3.63,285.1,209.0,68.89,55.65,-0.031,0.379,-0.127,-0.17,-0.113,0.095,2,0,315,0.41,622383
Scott Brown,USA,2018,71.329,3.6,292.6,223.0,65.65,54.79,-0.661,-0.27,0.049,-0.265,-0.175,-0.71,2,0,422,0.8,1076678
Kelly Kraft,USA,2018,71.333,3.32,288.6,201.0,63.83,58.93,-0.32,0.017,0.075,-0.286,-0.126,-0.395,3,0,627,1.08,1496253
Nicholas Lindheim,USA,2018,71.344,3.68,293.5,232.0,68.04,53.9,-0.323,-0.368,0.355,-0.258,-0.052,-0.678,1,0,272,0.55,593842
Charl Schwartzel,RSA,2018,71.349,3.28,299.5,238.0,61.11,57.88,-0.195,-0.168,0.081,-0.035,-0.073,-0.276,3,0,528,2.16,1710179
Bud Cauley,USA,2018,71.356,3.66,295.4,206.0,64.26,60.12,0.461,-0.032,0.367,-0.113,0.239,0.094,2,0,405,0.93,900591
Si Woo Kim,KOR,2018,71.367,3.59,290.8,253.0,63.78,57.23,-0.092,-0.2,-0.168,-0.014,0.291,0.077,5,0,893,2.25,2276114
Robert Garrigus,USA,2018,71.457,3.76,307.9,178.0,65.28,56.84,-0.213,0.331,-0.569,0.21,-0.186,0.356,1,0,353,0.59,702030
Whee Kim,KOR,2018,71.477,3.62,285.8,283.0,63.55,58.56,-0.437,0.03,0.427,-0.748,-0.146,-0.864,3,0,764,1.37,1920340
Sean O'Hair,USA,2018,71.479,3.41,302.7,163.0,63.84,57.56,-0.233,-0.073,-0.207,0.211,-0.164,-0.026,2,0,417,1.19,1104865
Michael Kim,USA,2018,71.662,3.44,289.9,330.0,60.63,56.05,-1.003,-0.213,0.259,-1.023,-0.027,-1.262,1,1,675,0.78,1379736
Chad Campbell,USA,2018,71.683,3.08,286.5,225.0,65.54,59.39,-0.484,-0.01,-0.454,-0.042,0.023,-0.029,2,0,361,0.75,801960
Derek Fathauer,USA,2018,71.827,3.44,289.1,350.0,60.35,54.99,-0.807,-0.365,0.363,-0.757,-0.048,-1.17,1,0,316,0.47,708712
Martin Piller,USA,2018,71.929,3.49,292.2,269.0,60.39,57.74,-1.127,-0.811,0.119,-0.248,-0.186,-1.246,2,0,371,0.59,847304
Sung Kang,KOR,2018,71.954,3.44,293.1,278.0,63.2,52.4,-1.041,-0.094,-0.235,-0.488,-0.225,-0.806,2,0,480,1.11,1243309
Grayson Murray,USA,2018,72.091,3.96,307.3,184.0,62.5,54.32,-0.336,-0.347,-0.35,0.375,-0.015,0.014,2,0,438,0.94,1056628
Satoshi Kodaira,JPN,2018,72.182,2.98,293.6,157.0,60.3,51.02,-1.832,-0.284,-0.645,0.027,-0.93,-1.187,1,1,600,2.54,1471462
Rory McIlroy,NIR,2019,69.057,4.49,313.5,106.0,68.55,63.38,2.551,0.633,0.425,1.195,0.297,2.126,14,3,2315,9.68,7785286
Patrick Cantlay,USA,2019,69.306,4.4,304.7,181.0,67.21,66.12,1.857,0.64,0.386,0.475,0.356,1.471,9,1,1730,6.79,6121488
Webb Simpson,USA,2019,69.377,3.86,288.6,189.0,65.81,66.88,1.507,0.613,0.608,-0.007,0.294,0.899,6,0,1619,5.46,4690572
Brooks Koepka,USA,2019,69.395,4.28,309.0,112.0,69.97,62.25,1.366,0.636,0.226,0.468,0.036,1.14,9,3,2887,12.62,9684006
Justin Thomas,USA,2019,69.466,4.58,302.2,170.0,70.68,61.32,1.631,0.985,-0.186,0.479,0.352,1.817,7,1,1247,7.2,5013084
Jon Rahm,ESP,2019,69.618,4.35,305.6,115.0,69.04,59.63,1.505,0.405,0.336,0.692,0.073,1.17,12,1,1447,6.89,4990110
Adam Scott,AUS,2019,69.693,4.28,299.3,189.0,68.94,59.82,1.831,0.846,0.348,0.285,0.351,1.483,9,0,1124,5.49,4084541
Tommy Fleetwood,ENG,2019,69.729,3.53,298.7,132.0,66.93,67.98,1.279,0.235,0.169,0.545,0.329,1.11,6,0,1193,5.49,3853651
Paul Casey,ENG,2019,69.821,3.87,298.4,95.0,70.96,58.67,1.361,0.706,-0.092,0.614,0.133,1.453,7,1,1629,5.49,4257040
Justin Rose,ENG,2019,69.825,4.06,303.2,157.0,64.78,62.09,1.243,0.525,0.504,0.179,0.036,0.739,7,1,1423,7.6,4358849
Xander Schauffele,USA,2019,69.834,4.08,304.1,151.0,68.39,62.23,1.393,0.481,0.244,0.456,0.211,1.149,6,2,1858,6.1,5609456
Hideki Matsuyama,JPN,2019,69.841,4.3,303.0,145.0,69.38,64.12,1.498,0.759,0.011,0.381,0.347,1.487,7,0,969,3.6,3335137
Dustin Johnson,USA,2019,69.895,4.21,312.0,178.0,66.98,57.93,1.321,0.288,0.096,0.703,0.234,1.225,7,1,1686,8.81,5534619
Matt Kuchar,USA,2019,69.916,4.01,289.5,173.0,69.38,63.04,1.062,0.591,0.302,0.063,0.105,0.76,8,2,2313,4.87,6294690
Tony Finau,USA,2019,69.955,3.9,309.5,176.0,67.46,62.2,0.768,0.384,-0.103,0.439,0.048,0.871,6,0,1279,5.62,4344380
Rickie Fowler,USA,2019,69.955,4.04,303.1,152.0,67.76,60.77,1.066,0.158,0.541,0.247,0.12,0.525,6,1,1391,4.96,3945810
Lucas Glover,USA,2019,70.083,3.96,296.1,130.0,68.15,64.73,0.976,0.33,0.164,0.337,0.145,0.812,7,0,947,2.08,2613965
Henrik Stenson,SWE,2019,70.089,3.46,282.7,180.0,66.11,62.3,0.971,1.149,0.106,-0.293,0.01,0.866,3,0,523,3.11,1397370
Jim Furyk,USA,2019,70.09,3.46,275.0,189.0,69.28,64.1,0.897,0.741,0.113,-0.072,0.114,0.784,3,0,865,2.48,2669938
Bryson DeChambeau,USA,2019,70.177,4.17,302.5,100.0,66.2,62.33,1.013,0.236,0.372,0.421,-0.016,0.641,5,1,1203,6.04,3186232
Patrick Reed,USA,2019,70.208,3.98,296.8,202.0,66.22,62.99,0.876,0.138,0.261,0.145,0.332,0.615,5,1,774,5.1,3593844
Jason Day,AUS,2019,70.212,4.0,302.0,144.0,69.7,59.6,0.833,-0.083,0.356,0.535,0.025,0.477,6,0,865,3.88,2637480
Gary Woodland,USA,2019,70.229,4.38,308.2,92.0,69.05,57.48,0.882,0.545,-0.143,0.472,0.008,1.025,8,1,1795,5.08,5690965
Chez Reavie,USA,2019,70.247,4.01,287.0,159.0,67.93,59.7,0.824,0.625,0.062,0.254,-0.117,0.762,6,1,1309,3.59,3660909
Sungjae Im,KOR,2019,70.252,4.07,295.9,141.0,67.61,64.53,1.023,0.075,0.323,0.341,0.285,0.7,7,0,1097,2.25,2851134
Louis Oosthuizen,RSA,2019,70.259,3.92,296.3,118.0,66.84,60.47,0.777,0.208,0.169,0.13,0.27,0.608,5,0,754,4.11,2539183
Sergio Garcia,ESP,2019,70.321,3.55,302.5,181.0,63.26,55.33,0.746,0.525,-0.078,0.35,-0.051,0.824,5,0,637,2.71,1793027
Scott Piercy,USA,2019,70.333,4.01,292.4,141.0,70.09,63.93,0.631,0.147,0.146,0.27,0.067,0.485,6,0,1025,1.91,2679915
Rory Sabbatini,SVK,2019,70.409,4.03,289.4,178.0,66.91,63.9,0.82,0.103,0.154,0.3,0.263,0.667,6,0,895,1.88,2382298
Kevin Kisner,USA,2019,70.416,3.67,286.4,175.0,66.99,61.06,0.671,0.257,0.45,0.149,-0.186,0.221,5,1,1098,3.58,3489144
Jason Kokrak,USA,2019,70.431,4.04,306.4,107.0,68.77,60.67,1.036,0.745,-0.018,0.55,-0.241,1.054,5,0,854,2.28,2330212
Marc Leishman,AUS,2019,70.434,3.89,296.2,218.0,67.21,64.0,0.833,0.472,0.302,-0.077,0.135,0.531,7,1,1415,3.81,3886577
Daniel Berger,USA,2019,70.443,3.73,301.0,103.0,65.15,61.84,0.28,0.007,-0.043,0.344,-0.029,0.322,1,0,361,1.21,742340
Vaughn Taylor,USA,2019,70.45,4.04,282.9,194.0,66.85,63.54,0.732,0.269,0.636,-0.205,0.032,0.096,4,0,641,1.4,1723910
Jordan Spieth,USA,2019,70.453,4.25,295.2,269.0,62.8,62.0,0.459,-0.198,0.862,-0.452,0.246,-0.403,4,0,605,3.01,2124192
Byeong Hun An,KOR,2019,70.48,3.97,307.1,170.0,67.75,59.28,0.819,0.42,-0.583,0.351,0.631,1.402,3,0,710,2.46,1990033
Charles Howell III,USA,2019,70.483,3.85,302.8,120.0,70.51,62.94,0.809,-0.072,0.291,0.262,0.328,0.518,5,1,1279,2.13,3039049
Ian Poulter,ENG,2019,70.502,4.1,291.5,193.0,66.86,59.83,0.764,0.15,0.425,-0.078,0.267,0.339,6,0,690,3.03,2162306
Brandt Snedeker,USA,2019,70.52,3.74,287.2,237.0,64.93,63.04,0.962,0.083,0.592,-0.193,0.48,0.37,6,0,934,2.89,3122936
Russell Knox,SCO,2019,70.521,3.61,289.2,194.0,69.06,62.09,0.55,0.585,-0.176,0.013,0.129,0.726,2,0,452,1.72,1132825
Adam Hadwin,CAN,2019,70.545,3.98,291.2,151.0,67.55,57.62,0.343,0.008,0.252,0.31,-0.227,0.091,5,0,818,1.96,2039012
Denny McCarthy,USA,2019,70.546,4.25,290.8,178.0,65.98,64.31,0.687,-0.448,0.926,0.061,0.149,-0.239,2,0,443,0.99,925156
Bud Cauley,USA,2019,70.574,4.07,293.4,182.0,67.21,64.05,0.558,0.196,-0.052,-0.163,0.577,0.61,2,0,482,1.01,1090018
Abraham Ancer,MEX,2019,70.58,3.89,293.3,113.0,66.79,61.98,0.515,0.011,-0.065,0.575,-0.005,0.58,4,0,622,2.92,2688625
Tyrrell Hatton,ENG,2019,70.585,3.74,296.6,157.0,66.28,54.55,0.489,0.218,-0.192,0.176,0.286,0.681,3,0,555,2.6,1517396
Graeme McDowell,NIR,2019,70.591,3.54,285.9,257.0,64.79,62.22,0.385,-0.016,0.731,-0.426,0.096,-0.346,3,1,729,1.39,1671523
Wyndham Clark,USA,2019,70.595,4.21,311.8,175.0,65.95,61.23,0.413,-0.572,0.64,0.084,0.261,-0.227,3,0,491,1.03,1278721
Joaquin Niemann,CHI,2019,70.621,3.7,301.5,149.0,68.06,60.33,0.67,0.484,-0.17,0.338,0.018,0.84,4,0,566,1.73,1434519
Talor Gooch,USA,2019,70.629,3.96,297.4,213.0,69.96,60.27,0.37,0.604,0.111,-0.24,-0.104,0.259,2,0,463,0.88,1067089
J.T. Poston,USA,2019,70.633,3.91,293.8,185.0,66.84,62.83,0.506,0.223,0.212,0.032,0.038,0.294,3,1,1015,1.91,2461215
Billy Horschel,USA,2019,70.644,3.61,291.8,182.0,67.63,61.38,0.829,0.147,0.522,0.145,0.014,0.307,4,0,835,2.96,2187249
Andrew Putnam,USA,2019,70.644,4.16,281.5,300.0,65.94,59.23,0.536,0.414,0.7,-0.639,0.061,-0.164,3,0,873,2.68,2439137
Michael Thompson,USA,2019,70.662,3.82,288.4,165.0,65.73,62.79,0.426,0.018,0.339,-0.045,0.113,0.087,4,0,527,1.09,1307816
Ryan Palmer,USA,2019,70.679,4.21,298.6,180.0,68.35,59.31,0.475,0.395,0.041,0.255,-0.216,0.434,6,1,1088,1.86,2873316
Nate Lashley,USA,2019,70.692,3.88,289.6,196.0,67.48,62.06,0.523,0.487,0.304,-0.247,-0.021,0.219,2,1,836,1.54,2030287
Nick Taylor,CAN,2019,70.697,3.76,292.1,220.0,67.26,60.77,0.452,-0.051,0.33,0.135,0.038,0.122,1,0,408,0.67,892663
Bubba Watson,USA,2019,70.71,3.71,311.6,159.0,66.76,57.35,0.281,-0.052,-0.344,0.743,-0.067,0.624,3,0,572,3.71,1558014
Harold Varner III,USA,2019,70.716,3.82,302.0,172.0,67.21,60.33,0.227,0.093,-0.202,0.26,0.076,0.429,3,0,458,1.33,1553149
Dylan Frittelli,RSA,2019,70.737,3.62,296.5,164.0,68.24,62.63,0.439,0.186,-0.169,0.272,0.149,0.608,1,1,735,1.47,1576974
Aaron Wise,USA,2019,70.739,4.42,302.6,140.0,68.6,52.05,0.329,-0.085,-0.146,0.533,0.026,0.475,1,0,400,1.77,1052507
Peter Malnati,USA,2019,70.762,3.86,292.2,289.0,63.99,62.64,0.379,0.225,0.467,-0.41,0.097,-0.088,1,0,423,0.77,864496
